_TYPE_,yyq,ageval3,agepop2020,deaths,death_per1m
4,20201,,329484123,3942,11.964157678
4,20202,,329484123,123377,374.45506896
4,20203,,329484123,79614,241.63228041
4,20204,,329484123,160968,488.54554366
4,20211,,329484123,192627,584.63211595
4,20212,,329484123,43291,131.39024608
4,20213,,329484123,114886,348.68447971
4,20214,,329484123,119449,362.53340195
4,20221,,329484123,154080,467.64013573
4,20222,,329484123,4439,13.47257634
5,20201,85 years and over,6658420,947,142.22593348
5,20202,85 years and over,6658420,40728,6116.7664401
5,20203,85 years and over,6658420,21549,3236.3533691
5,20204,85 years and over,6658420,53973,8105.9770937
5,20211,85 years and over,6658420,53684,8062.5734033
5,20212,85 years and over,6658420,7865,1181.2111582
5,20213,85 years and over,6658420,16554,2486.175399
5,20214,85 years and over,6658420,20974,3149.9965457
5,20221,85 years and over,6658420,37447,5624.0068965
5,20222,85 years and over,6658420,1473,221.22365366
5,20201,75-84 years,16451547,1041,63.276724067
5,20202,75-84 years,16451547,32452,1972.5804509
5,20203,75-84 years,16451547,21197,1288.4502594
5,20204,75-84 years,16451547,46620,2833.7760577
5,20211,75-84 years,16451547,54007,3282.7915818
5,20212,75-84 years,16451547,9950,604.80634435
5,20213,75-84 years,16451547,23002,1398.1663852
5,20214,75-84 years,16451547,26346,1601.4299446
5,20221,75-84 years,16451547,41145,2500.9806069
5,20222,75-84 years,16451547,1298,78.898355273
5,20201,65-74 years,32549398,897,27.558113364
5,20202,65-74 years,32549398,25732,790.55225538
5,20203,65-74 years,32549398,18170,558.22845019
5,20204,65-74 years,32549398,33692,1035.1036293
5,20211,65-74 years,32549398,45326,1392.5295946
5,20212,65-74 years,32549398,10877,334.16900675
5,20213,65-74 years,32549398,27127,833.41019087
5,20214,65-74 years,32549398,29561,908.18883962
5,20221,65-74 years,32549398,36981,1136.1500449
5,20222,65-74 years,32549398,889,27.312333088
5,20201,50-64 years,62799204,745,11.863207693
5,20202,50-64 years,62799204,18785,299.12799532
5,20203,50-64 years,62799204,13866,220.79897701
5,20204,50-64 years,62799204,20903,332.85453746
5,20211,50-64 years,62799204,31115,495.46806358
5,20212,50-64 years,62799204,10734,170.92573339
5,20213,50-64 years,62799204,31590,503.03185372
5,20214,50-64 years,62799204,29642,472.01235226
5,20221,50-64 years,62799204,28919,460.49946748
5,20222,50-64 years,62799204,611,9.729422685
5,20201,40-49 years,40278494,186,4.6178489196
5,20202,40-49 years,40278494,3709,92.083879799
5,20203,40-49 years,40278494,3112,77.262074396
5,20204,40-49 years,40278494,3855,95.70864293
5,20211,40-49 years,40278494,5639,140.00026913
5,20212,40-49 years,40278494,2428,60.280307402
5,20213,40-49 years,40278494,10092,250.5555446
5,20214,40-49 years,40278494,7893,195.96065335
5,20221,40-49 years,40278494,5876,145.88430243
5,20222,40-49 years,40278494,103,2.5571959071
5,20201,30-39 years,44666707,93,2.0820876721
5,20202,30-39 years,44666707,1442,32.283552938
5,20203,30-39 years,44666707,1192,26.686543067
5,20204,30-39 years,44666707,1397,31.276091161
5,20211,30-39 years,44666707,2034,45.537272313
5,20212,30-39 years,44666707,988,22.119383012
5,20213,30-39 years,44666707,4706,105.35811382
5,20214,30-39 years,44666707,3687,82.544701583
5,20221,30-39 years,44666707,2517,56.350695385
5,20222,30-39 years,44666707,45,1.0074617768
5,20201,18-29 years,53258240,27,0.506963805
5,20202,18-29 years,53258240,477,8.9563605557
5,20203,18-29 years,53258240,464,8.7122668718
5,20204,18-29 years,53258240,459,8.6183846856
5,20211,18-29 years,53258240,717,13.462705489
5,20212,18-29 years,53258240,373,7.0036110844
5,20213,18-29 years,53258240,1594,29.929640934
5,20214,18-29 years,53258240,1170,21.968431552
5,20221,18-29 years,53258240,941,17.668627427
5,20222,18-29 years,53258240,13,0.2440936839
5,20201,12-17 years,25135943,1,0.0397836676
5,20202,12-17 years,25135943,23,0.9150243538
5,20203,12-17 years,25135943,28,1.1139426915
5,20204,12-17 years,25135943,32,1.2730773618
5,20211,12-17 years,25135943,50,1.9891833778
5,20212,12-17 years,25135943,26,1.0343753564
5,20213,12-17 years,25135943,105,4.1772850933
5,20214,12-17 years,25135943,80,3.1826934044
5,20221,12-17 years,25135943,94,3.7396647502
5,20222,12-17 years,25135943,1,0.0397836676
5,20201,05-11 years,28384878,2,0.0704600527
5,20202,05-11 years,28384878,7,0.2466101845
5,20203,05-11 years,28384878,15,0.5284503953
5,20204,05-11 years,28384878,9,0.3170702372
5,20211,05-11 years,28384878,21,0.7398305534
5,20212,05-11 years,28384878,11,0.3875302899
5,20213,05-11 years,28384878,35,1.2330509224
5,20214,05-11 years,28384878,34,1.197820896
5,20221,05-11 years,28384878,51,1.7967313441
5,20222,05-11 years,28384878,2,0.0704600527
5,20201,0-4 years,19301292,3,0.1554300096
5,20202,0-4 years,19301292,22,1.1398200701
5,20203,0-4 years,19301292,21,1.0880100669
5,20204,0-4 years,19301292,28,1.4506800892
5,20211,0-4 years,19301292,34,1.7615401083
5,20212,0-4 years,19301292,39,2.0205901242
5,20213,0-4 years,19301292,81,4.196610258
5,20214,0-4 years,19301292,62,3.2122201975
5,20221,0-4 years,19301292,109,5.6472903472
5,20222,0-4 years,19301292,4,0.2072400127
