"End_Date","Black","White"
10/02/2021,55.6,44.5
10/09/2021,46.5,39.2
10/16/2021,37.7,35.2
10/23/2021,33.6,32.5
10/30/2021,27.2,29.0
11/06/2021,23.4,26.7
11/13/2021,21.4,26.4
11/20/2021,21.0,27.4
11/27/2021,22.8,29.9
12/04/2021,25.2,33.8
12/11/2021,28.5,37.3
12/18/2021,33.1,39.3
12/25/2021,36.3,39.2
01/01/2022,50.5,42.1
01/08/2022,78.6,51.9
01/15/2022,105.6,64.3
01/22/2022,114.4,71.5
01/29/2022,106.4,71.5
02/05/2022,83.2,65.0
02/12/2022,65.1,53.6
02/19/2022,46.8,41.7
02/26/2022,31.5,29.9
03/05/2022,22.5,22.3
03/12/2022,16.2,16.0
03/19/2022,11.4,11.5
03/26/2022,9.9,9.0
04/02/2022,6.7,6.9
04/09/2022,4.9,5.6
04/16/2022,4.8,5.0
04/23/2022,5.0,4.7
04/30/2022,4.4,5.1
05/07/2022,2.9,4.9
05/14/2022,3.2,4.5
05/21/2022,2.5,3.8
