State,stab,adj_rate_American_Indian_or_Al,adj_rate_Asian,adj_rate_Black,adj_rate_White,adj_rate_Hispanic,adj_ratio_American_Indian_or_A,adj_ratio_Asian,adj_ratio_Black,adj_ratio_White,adj_ratio_Hispanic
Alabama,AL,712.2,1849,5574,4117,3816,0.2,0.4,1.4,1.0,0.9
Alaska,AK,3862,1916,0.0,1427,391.6,2.7,1.3,0.0,1.0,0.3
Arizona,AZ,13833,3424,5743,3716,8921,3.7,0.9,1.5,1.0,2.4
Arkansas,AR,2744,2199,5009,4008,4888,0.7,0.5,1.2,1.0,1.2
California,CA,3821,2244,4082,2263,6133,1.7,1.0,1.8,1.0,2.7
Colorado,CO,5098,2414,3598,2195,5383,2.3,1.1,1.6,1.0,2.5
Connecticut,CT,0.0,2160,6590,3417,5462,0.0,0.6,1.9,1.0,1.6
Delaware,DE,0.0,474.8,4847,3432,3927,0.0,0.1,1.4,1.0,1.1
District of Columbia,DC,0.0,1330,3268,894.1,3752,0.0,1.5,3.7,1.0,4.2
Florida,FL,2271,2549,6814,3458,5245,0.7,0.7,2.0,1.0,1.5
Georgia,GA,523.0,1946,4688,3469,4065,0.2,0.6,1.4,1.0,1.2
Hawaii,HI,0.0,599.7,0.0,412.2,2079,0.0,1.5,0.0,1.0,5.0
Idaho,ID,4357,1182,0.0,2866,4919,1.5,0.4,0.0,1.0,1.7
Illinois,IL,0.0,2186,4735,2857,5071,0.0,0.8,1.7,1.0,1.8
Indiana,IN,0.0,2156,5513,3764,4812,0.0,0.6,1.5,1.0,1.3
Iowa,IA,7084,3433,6500,3227,4494,2.2,1.1,2.0,1.0,1.4
Kansas,KS,5110,2543,5221,3242,5824,1.6,0.8,1.6,1.0,1.8
Kentucky,KY,0.0,1621,4537,3924,3166,0.0,0.4,1.2,1.0,0.8
Louisiana,LA,2349,1837,5104,3517,3079,0.7,0.5,1.5,1.0,0.9
Maine,ME,0.0,0.0,0.0,1872,0.0,0.0,0.0,0.0,1.0,0.0
Maryland,MD,0.0,1869,4272,2728,4384,0.0,0.7,1.6,1.0,1.6
Massachusetts,MA,0.0,2419,4676,2927,4637,0.0,0.8,1.6,1.0,1.6
Michigan,MI,3037,1691,6140,3136,5454,1.0,0.5,2.0,1.0,1.7
Minnesota,MN,6283,3999,4422,2406,3921,2.6,1.7,1.8,1.0,1.6
Mississippi,MS,11624,2726,6649,4587,3092,2.5,0.6,1.4,1.0,0.7
Missouri,MO,2612,2227,4947,3464,4171,0.8,0.6,1.4,1.0,1.2
Montana,MT,11717,0.0,0.0,3078,5343,3.8,0.0,0.0,1.0,1.7
Nebraska,NE,2414,1063,3835,2803,4343,0.9,0.4,1.4,1.0,1.5
Nevada,NV,5517,4252,6221,3930,6540,1.4,1.1,1.6,1.0,1.7
New Hampshire,NH,0.0,0.0,0.0,1890,2668,0.0,0.0,0.0,1.0,1.4
New Jersey,NJ,0.0,3323,6959,3831,6799,0.0,0.9,1.8,1.0,1.8
New Mexico,NM,16622,2044,3381,3132,5989,5.3,0.7,1.1,1.0,1.9
New York,NY,2044,803.4,2029,2470,1661,0.8,0.3,0.8,1.0,0.7
North Carolina,NC,4425,1775,4045,2928,3706,1.5,0.6,1.4,1.0,1.3
North Dakota,ND,11848,0.0,0.0,3677,3960,3.2,0.0,0.0,1.0,1.1
Ohio,OH,484.6,2147,5004,3965,3985,0.1,0.5,1.3,1.0,1.0
Oklahoma,OK,6747,3512,5802,4321,6524,1.6,0.8,1.3,1.0,1.5
Oregon,OR,3719,1321,2779,1827,3065,2.0,0.7,1.5,1.0,1.7
Pennsylvania,PA,526.6,3065,5800,3912,5118,0.1,0.8,1.5,1.0,1.3
Rhode Island,RI,0.0,4460,4218,3980,4742,0.0,1.1,1.1,1.0,1.2
South Carolina,SC,1186,2155,5271,3539,3590,0.3,0.6,1.5,1.0,1.0
South Dakota,SD,10627,0.0,0.0,3500,2463,3.0,0.0,0.0,1.0,0.7
Tennessee,TN,0.0,2278,5519,4043,4604,0.0,0.6,1.4,1.0,1.1
Texas,TX,2076,2017,4629,3529,6699,0.6,0.6,1.3,1.0,1.9
Utah,UT,6406,1289,384.5,1511,2982,4.2,0.9,0.3,1.0,2.0
Vermont,VT,0.0,0.0,0.0,1034,0.0,0.0,0.0,0.0,1.0,0.0
Virginia,VA,539.7,1519,3678,2430,3306,0.2,0.6,1.5,1.0,1.4
Washington,WA,3902,1320,2370,1704,3695,2.3,0.8,1.4,1.0,2.2
West Virginia,WV,0.0,0.0,4409,3918,0.0,0.0,0.0,1.1,1.0,0.0
Wisconsin,WI,4754,3526,5322,2628,4988,1.8,1.3,2.0,1.0,1.9
Wyoming,WY,8496,0.0,0.0,2732,4843,3.1,0.0,0.0,1.0,1.8
